Plant,Score,Population,Area
Plant 3786-1,0.428571428571429,LA 3786,Northern
Plant 3786-1,0.333333333333333,LA 3786,Northern
Plant 3786-1,0.6,LA 3786,Northern
Plant 3786-1,0.823529411764706,LA 3786,Northern
Plant 3786-1,0.7,LA 3786,Northern
Plant 3786-1,0.307692307692308,LA 3786,Northern
Plant 3786-1,0.6,LA 3786,Northern
Plant 3786-1,0.625,LA 3786,Northern
Plant 3786-3,0.333333333333333,LA 3786,Northern
Plant 3786-3,0.777777777777778,LA 3786,Northern
Plant 3786-3,0.555555555555556,LA 3786,Northern
Plant 3786-3,0.666666666666667,LA 3786,Northern
Plant 3786-3,1,LA 3786,Northern
Plant 3786-3,0.666666666666667,LA 3786,Northern
Plant 3786-3,0.666666666666667,LA 3786,Northern
Plant 3786-3,0.909090909090909,LA 3786,Northern
Plant 3786-4,0.727272727272727,LA 3786,Northern
Plant 3786-4,0.555555555555556,LA 3786,Northern
Plant 3786-4,0.727272727272727,LA 3786,Northern
Plant 3786-4,0.666666666666667,LA 3786,Northern
Plant 3786-4,0.555555555555556,LA 3786,Northern
Plant 3786-4,0.727272727272727,LA 3786,Northern
Plant 3786-4,0.7,LA 3786,Northern
Plant 3786-4,0.666666666666667,LA 3786,Northern
Plant 3786-5,0.777777777777778,LA 3786,Northern
Plant 3786-5,1,LA 3786,Northern
Plant 3786-5,0.714285714285714,LA 3786,Northern
Plant 3786-5,0.777777777777778,LA 3786,Northern
Plant 3786-5,0.5,LA 3786,Northern
Plant 3786-5,0.777777777777778,LA 3786,Northern
Plant 3786-5,0.888888888888889,LA 3786,Northern
Plant 3786-5,0.666666666666667,LA 3786,Northern
Plant 3786-6,0.888888888888889,LA 3786,Northern
Plant 3786-6,0.888888888888889,LA 3786,Northern
Plant 3786-6,0.777777777777778,LA 3786,Northern
Plant 3786-6,0.818181818181818,LA 3786,Northern
Plant 3786-6,0.666666666666667,LA 3786,Northern
Plant 3786-6,0.666666666666667,LA 3786,Northern
Plant 3786-6,1,LA 3786,Northern
Plant 3786-6,1,LA 3786,Northern
Plant 3786-7,0,LA 3786,Northern
Plant 3786-7,0,LA 3786,Northern
Plant 3786-7,1,LA 3786,Northern
Plant 3786-7,0.916666666666667,LA 3786,Northern
Plant 3786-7,0,LA 3786,Northern
Plant 3786-7,0,LA 3786,Northern
Plant 3786-7,0.777777777777778,LA 3786,Northern
