Strain,Plate 
Score P100,7
Score P100,5
Score P100,7
Score P100,7.1
Score P100,6.8
Score P100,6.4
Score P100,6.4
Score P100,7
Score P100,7
Score P100,7
Score P100,7.4
Score P100,7.5
Score P100,7.9
Score P078,3.6
Score P078,3
Score P078,2.4
Score P078,2.8
Score P078,3.3
Score P078,3.6
Score P078,4.8
Score P078,2.2
Score P078,2.3
Score P054,1.8
Score P054,1.8
Score P054,2
Score P054,0.7
Score P054,0.9
Score P054,1
Score P054,0.8
Score P054,1.2
Score P054,0.7
EC1,1.6
EC1,1
EC1,1
EC1,3.6
EC1,1.5
EC1,4
EC1,4
EC1,1
Score 88069,4
Score 88069,2.4
Score 88069,4.8
Score 88069,4
Score 88069,2
Score 3928,0.6
Score 3928,1.6
Score 3928,0.6
Score 3928,1.5
Score 3928,0.5
Score 3928,2.2
Score T-30-4,7
Score T-30-4,7
Score T-30-4,7.2
Score T-30-4,7
Score T-30-4,8.5
Score T-30-4,8.5
Score T-30-4,8.5
Score T-30-4,8.5
